Adidas                            ,                                                                                       ,                       ,                                                                                                       ,                                                                             ,                                                     ,                          ,                   ,                                 , 
Country                           , Supplier Name                                                                         , Tier                  , Address 1                                                                                             , Address 2                                                                   , Address 3                                           , City                     , Postal Code       , State                           , Product Type
China                             , JiangSu XueZhongFei Garment Co Ltd                                                    , Tier 1 - Primary      , "No 1, KangBo Avenue, "                                                                               , "KangBo Village, GuLi Town "                                                ,                                                     , ChangShu                 , 215532            , Jiangsu                         , Apparel
China                             , JIANGXI XINGBAIXIANG SPORTING GOODS CO.LTD                                            , Tier 1 - Primary      , WEST SIDE OF SHANGOU AVENUE                                                                           , EAST SIDE OF HUADING CLOTHING                                               , YUDU COUNTY                                         , GANZHOU CITY             , 342300            , JIANGXI                         , Apparel
China                             , "JIAXING QUANG VIET GARMENT CO.,LTD."                                                 , Tier 1 - Primary      , "Pingxingxian tongxinduan318 Xindai Town,"                                                            , "Pinghu City,Zhejiang,China 314211"                                         ,                                                     , Pinghu City              , 314211            , Zhejiang                        , Apparel
China                             , "LECROWN SHOES INDUSTRY Co., Ltd"                                                     , Tier 1 - Primary      , Hualin Industry Zone                                                                                  , Chengxiang Area                                                             ,                                                     , PuTian City              , 351139            , Fujian                          , Footwear
China                             , "Lijing Regina Miracle Intimate Apparel (Zhaoqing) Co.,Ltd"                           , Tier 1 - Primary      , "No.16, Keji 2nd Road, Zhaoqing New District,"                                                        , "Dinghu, Zhaoqing"                                                          ,                                                     , Zhaoqing                 , 526070            , Guangdong                       , Apparel
China                             , "LINLI VICTORY FOOTWEAR CO., LTD."                                                    , Tier 1 – Subcontractor, "BUILDING 12A,12B."                                                                                   , LINLI COUNTY                                                                ,                                                     , CHANGDE CITY             , 415200            , HUNAN                           , Footwear
China                             , "NINGBO HOPE TIME ENTERPRISE CO., LTD."                                               , Tier 1 - Primary      , BUILDING 8                                                                                            , HIGH-TECH ZONE                                                              , FENGHUA DISTRICT                                    , NINGBO                   , 315500            , ZHEJIANG                        , Accessories
China                             , Ningbo Shenzhou Knitting Co Ltd (Factory 4)                                           , Tier 1 - Primary      , 26 Nanhai Road                                                                                        , Economic Technical Development Zone                                         , Dagang Industrial                                   , Ningbo                   , 315800            , Zhejiang                        , Apparel
China                             , "Ningbo shenzhou knitting Co.,LTD - Embroidery factory "                              , Tier 1 – Subcontractor, No. 208 Huangshan West Road                                                                           , Economic Technical Development Zone                                         ,                                                     , Ningbo                   , 315800            , Zhejiang                        , Apparel
China                             , Ningbo Shixing Knitting Printing Co. Ltd                                              , Tier 1 – Subcontractor, 636 FUCHUNJIANG ROAD ECONOMIC TECHNICAL DEVELOPMENT                                                   , Beilun District                                                             , N/A                                                 , Ningbo                   , 315800            , Select                          , Apparel
China                             , "Shanghai Penga Minheng Apparel Ltd., Co"                                             , Tier 1 – Subcontractor, "No. 68, Lane 801 Kangye Road"                                                                        , ZhuJiaJiao Industrial Zone                                                  , Qingpu District                                     , Shanghai                 , 201714            , Shanghai                        , Apparel
China                             , "PINGXIANG XIETAI SHOES CO.,LTD"                                                      , Tier 1 - Primary      , "FUTIAN VILLAGE,FUTIAN TOWN,SHANGLI COUNTY"                                                           ,                                                                             ,                                                     , PINGXIANG                , 337006            , Jiangxi                         , Footwear
China                             , "PUTIAN HUAJUN FOOTWEAR CO., LTD"                                                     , Tier 1 – Subcontractor, "TAIHU INDUSTRIAL DISTRICT, QINGSHAN VILLAGE"                                                         , "LINGCHUAN TOWN, CHENGXIANG DISTRICT"                                       ,                                                     , PUTIAN                   , 351162            , Fujian                          , Footwear
China                             , "PUTIAN JINMAO INDUSTRIAL CO.,LTD"                                                    , Tier 1 – Subcontractor, "MEITANG VILLAGE ,JIAOWEI TOWN, XIANYOU COUNTY"                                                       , STE 4                                                                       ,                                                     , Xianyou                  , 351253            , Fujian                          , Footwear
China                             , "Qingdao Atago Apparel Co., Ltd."                                                     , Tier 1 - Primary      , "No.1,Yunshui 1 Road,New Town of Automobile Industry"                                                 , "Jimo District,"                                                            , Qingdao                                             , Qingdao                  , 266217            , Shandong                        , Apparel
China                             , "QINGDAO DELONG SPORTING GOODS CO., LTD"                                              , Tier 1 - Primary      , " No.132 Taiguang Road, Jiangshan Town, "                                                             , Laixi City                                                                  ,                                                     , Qingdao                  , 266604            , Shandong                        , Accessories
China                             , Taian Jinhui Apparels Co Ltd                                                          , Tier 1 - Primary      , JingJiaWa Village                                                                                     , ZhuYang Town                                                                , DaiYue District                                     , TaiAn                    , 271000            , Shandong                        , Apparel
China                             , Qingdao Tenghua Apparel Co.Ltd.                                                       , Tier 1 - Primary      , 219 North of Chong Qing Road                                                                          , Chengyang                                                                   ,                                                     , Qingdao                  , 266108            , Shandong                        , Apparel
China                             , Qingxin Sankeng Dahui Footwear Factory                                                , Tier 1 – Subcontractor, Anqing village Sankeng town                                                                           ,                                                                             ,                                                     , Qingyuan                 , 511855            , Guangdong                       , Footwear
China                             , "QINGXU PLASTICAL PRODUCTS (SHENZHEN) CO., LTD"                                       , Tier 1 - Primary      , "7TH BUILDING B101 B201,BUILDING A 101"                                                               , "6TH INDUSTRIAL ESTATE,TIAN LIAO COMMUNITY"                                 , "YUTANG STREET, GUANGMING DISTRICT"                 , SHENZHEN                 , 518132            , Guangdong                       , Accessories
China                             , "Shaanxi White River Apparel Co., Ltd. "                                              , Tier 1 - Primary      , "No.1 Yanzhong Street, Yanmen Road, Baishui County,"                                                  ,                                                                             ,                                                     , Weinan City              , 715600            , Shaanxi                         , Apparel
China                             , "XIAMEN MING HO BROTHER'S MFG. CO., LTD"                                              , Tier 1 - Primary      , "No.28,Ji'an Road,Tong'an"                                                                            ,                                                                             ,                                                     , "District,Xiamen City"   , 361100            , Fujian                          , Accessories
China                             , "Suzhou Tianyuan Garments Co., Ltd"                                                   , Tier 1 - Primary      , "No. 157, Yushan Road,"                                                                               , "New District,"                                                             ,                                                     , Suzhou                   , 215163            , Jiangsu                         , Apparel
China                             , "Tay Hsin(Nanhai,Foshan) Knitting Company Limited"                                    , Tier 1 - Primary      , "No1. Shabu Wes Rd., Shabu Industrial District, "                                                     , "Shachong, Lishui Town, Nanhai District, Foshan City."                      , Guangdong                                           , Foshan                   , 528244            , Guangdong                       , Accessories
China                             , Dongguan Bacui Knitwear Co. Ltd                                                       , Tier 1 - Primary      , "No.5, Pingding Road"                                                                                 , Changping Town                                                              ,                                                     , Dongguan City            , 523579            , Guangdong                       , Apparel
China                             , "VICTORY FOOTWEAR CO.,LTD.,GAOBU HENGJIAOTOU BRANCH"                                  , Tier 1 - Primary      , " BESIDE SANTANG ROAD, HENGJIAOTOU VILLAGE"                                                           , GAO BU TOWN                                                                 ,                                                     , DONG GUAN                , 523000            , Guangdong                       , Footwear
China                             , Wanguo Qingyuan footwear Ltd                                                          , Tier 1 – Subcontractor, "Qingyuan Nation Industrial Park,"                                                                    , Lianzhou city                                                               ,                                                     , Qingyuan                 , 513400            , Guangdong                       , Footwear
China                             , "Xuyi Tiansheng Garments Co., Ltd"                                                    , Tier 1 – Subcontractor, " North Side of Gongba Road, Economic Development Zone, "                                             , "Xuyi County, Huai' an City, Jiangsu Province"                              ,                                                     , Xuyi                     , 211700            , Jiangsu                         , Apparel
China                             , "YAN TAI NE APPAREL CO.,LTD"                                                          , Tier 1 - Primary      , "26,Yantai Str. Haiyang Economic and Development Zone"                                                , "Economic Development Zone,"                                                ,                                                     , Haiyang                  , 265100            , Shandong                        , Apparel
China                             , "Yue Yuen (Anfu) footwear Co.,Ltd. (YYJ)"                                             , Tier 1 - Primary      , No.888 of AnHua Road                                                                                  , Anfu Insdustrial Zone                                                       ,                                                     , Ji'An                    , 343200            , Jiangxi                         , Footwear
China                             , Yueyang Wanfeng footwear factory                                                      , Tier 1 – Subcontractor, "Kangwang Science and Technology Park, "                                                              , Economic Delevopment District                                               ,                                                     , Yueyang                  , 414000            , Hunan                           , Footwear
China                             , Yunfu Flir Garment Limited                                                            , Tier 1 - Primary      , "Xisan Road, Chucheng Industrial District, Yuncheng Area, Yunfu, Guangdong"                           ,                                                                             ,                                                     , Yunfu City               , 527300            , Guangdong                       , Apparel
China                             , Yunfu Union Regent Printing Factory Limited                                           , Tier 1 – Subcontractor, "Chucheng Industrial District, Hekou Street, Yuncheng Area, YunFu"                                    ,                                                                             ,                                                     , Yunfu                    , 527300            , Guangdong                       , Apparel
China                             , ZHEJIANG CHENGPENG INDUSTRY AND TRADE CO. LTD.                                        , Tier 1 - Primary      , "No 3 of West WeiWu Road,"                                                                            , Hardware & Machinery Industrial Park                                        , "TongQin Town, WuYi County"                         , Jinhua                   , 321200            , Zhejiang                        , Accessories
China                             , "Zhejiang Hepolilo Knitting Co.,Ltd."                                                 , Tier 1 - Primary      , 10# Chaoyang Road Haichang Street                                                                     ,                                                                             ,                                                     , Haining                  , 314400            , Zhejiang                        , Accessories
China                             , "Zhejiang Huizhong Garments Co., Ltd."                                                , Tier 1 - Primary      , "No. 123, ChengGong Road,"                                                                            , "HuiMin Street,"                                                            , "JiaShan County,"                                   , Jiaxing                  , 314100            , Zhejiang                        , Apparel
China                             , "ZHEJIANG TONGYING CLOTHING CO.,LTD"                                                  , Tier 1 - Primary      , "BAIYUN STREET, BAIYUN COMMUNITY"                                                                     , DONGYANG CITY                                                               ,                                                     , JINHUA CITY              , 322100            , ZHEJIANG                        , Apparel
China                             , Zhenjiang Tuntex Garment Co Ltd                                                       , Tier 1 - Primary      , NO.10 Shi-Shi Road                                                                                    , Ju-Rong Economic Development Zone                                           , 212400                                              , Zhenjiang                , 212400            , Jiangsu                         , Apparel
China                             , ZHONGSHAN WEILI TEXTILE CO. LTD.                                                      , Tier 1 - Primary      , "Building 1~5, No.1 Yeqiang street, Pingnan village, Sanxiang Town,"                                  ,                                                                             ,                                                     , Zhongshan                , 528463            , Guangdong                       , Accessories
Colombia                          , Supertex S.A.                                                                         , Tier 1 - Primary      , Carrera 35 No-10-707                                                                                  ,                                                                             ,                                                     , Acopy Yumbo              , N/A               , Valle del Cauca                 , Apparel
Egypt                             , ELITE MERCHANDISING CORP.                                                             , Tier 1 - Primary      , St. 8                                                                                                 , El-Amrya Public Free Zone                                                   ,                                                     , Alexandria               , 23512             , Iskandariyah                    , Apparel
Egypt                             , Forward Egypt                                                                         , Tier 1 - Primary      , Mostafa Refaat                                                                                        , Sheraton area                                                               , El Nozha                                            , Cairo                    , 11843             ,                                 , Accessories
Egypt                             , Jade textile Ismailia S.A.E                                                           , Tier 1 - Primary      , 200 acres El-Mostakbel Are-Ismailia public Free Zone                                                  ,                                                                             ,                                                     , Ismailia                 , 41611             ,                                 , Apparel
El Salvador                       , "CONFECCIONES DEL VALLE,S.A. DE C.V."                                                 , Tier 1 - Primary      , KM 24 CARRETERA A SANTA ANA                                                                           , EXPORT SALVA FREE ZONE                                                      ,                                                     , "LOURDES, COLON"         , N/A               , La Libertad                     , Apparel
El Salvador                       , Cygnus Investments S.A. de C.V.  (M-2)                                                , Tier 1 – Subcontractor, "Km 30.5 Carretera al Aeropuerto Internacional, "                                                     , "Zona Franca, Miramar, Edificio #2"                                         ,                                                     , Olocuilta                , 01608             , La Paz                          , Apparel
El Salvador                       , Grupo Miguel S. A de C. V                                                             , Tier 1 – Subcontractor, "Complejo Industrial Intercomplex, km 26 1/2 carretera a Santa Ana"                                   ,                                                                             ,                                                     , San Juan Opico           , +503              , La Libertad                     , Apparel
El Salvador                       , Screen Printing Solutions SA de CV                                                    , Tier 1 – Subcontractor, "Km 24, Carretera a Santa Ana"                                                                        , "Zona Franca Exportsalva, Edif. 9 C y D"                                    ,                                                     , "Colon, La Libertad"     , 01512             , La Libertad                     , Apparel
El Salvador                       , "Servicios Coatepeque, S.A de C.V"                                                    , Tier 1 – Subcontractor, Km 24 Carretera a Santa Ana                                                                           , Zona Franca Expo Salva                                                      , Planta #8                                           , "Colon, La Libertad"     , N/A               , La Libertad                     , Apparel
El Salvador                       , "Servicios Opico, S.A de C.V"                                                         , Tier 1 – Subcontractor, Km 24 Carretera Santa Ana                                                                             , Zona Franca Expo Salva                                                      , Planta #7                                           , "Lourdes, La Libertad"   , N/A               , La Libertad                     , Apparel
El Salvador                       , "Servicios San Julian, S.A de C.V"                                                    , Tier 1 – Subcontractor, Km 24 Carretera Santa Ana                                                                             , ExpoSalva Free Zone                                                         , Planta #10                                          , "Lourdes, La Libertad"   , N/A               , La Libertad                     , Apparel
El Salvador                       , Supertex El Salvador S.A. de C.V.                                                     , Tier 1 - Primary      , Km 76 1/2 by Pass Norte                                                                               , Zona Franca 10                                                              ,                                                     , Chalchuapa               , 2205              , Santa Ana                       , Apparel
El Salvador                       , SUPERTEX LOURDES S.A. DE C.V.                                                         , Tier 1 – Subcontractor, KM 26.10 Carretera Panamericana                                                                       , "Intercomplex Industrial Park, Block A."                                    ,                                                     , San Juan Opico           , N/A               , La Libertad                     , Apparel
El Salvador                       , Varsity Pro Ltda de C.V.                                                              , Tier 1 – Subcontractor, Km 36 carretera a Santa Ana                                                                           , Zona Franca American Park                                                   , "Calle Canada, Poligono H"                          , Ciudad Arce              , N/A               , La Libertad                     , Apparel
Georgia                           , Ajara Textile Benze Cutting                                                           , Tier 1 – Subcontractor, Tsotne Dadiani street 1                                                                               ,                                                                             ,                                                     , Batumi                   , 6100              , Ajaria                          , Apparel
Georgia                           , Ajara Textile Ltd.                                                                    , Tier 1 - Primary      , Bobokvati Street No:14                                                                                , "Bobokvati Village, Kobuleti"                                               ,                                                     , Batumi                   , 6200              , Ajaria                          , Apparel
Germany                           , "(adidas Group) adidas AG, Scheinfeld"                                                , Tier 1 - Primary      , Adi-Dassler-Strasse 24                                                                                ,                                                                             ,                                                     , Scheinfeld               , 91443             , Freistaat Bayern                , Footwear
Germany                           , Willy Maisel GmbH - World of Textiles                                                 , Tier 1 - Primary      , Münchberger Straße 46                                                                                 ,                                                                             ,                                                     , Konradsreuth             , 95176             , Freistaat Bayern                , Apparel
Honduras                          , Pinehurst Manufacturing GMBH                                                          , Tier 1 - Primary      , "Zoli St Andrews, Colonia Agua Prieta "                                                               , Sector Rivera Hernandez                                                     , "San Pedro Sula, Cortes, Honduras"                  , San Pedro Sula           , NA                , Cortes                          , Apparel
Honduras                          , Southern Apparel Contractors S.A.                                                     , Tier 1 - Primary      , ZOLI INHDELVA SPS. El Guanal                                                                          , 33 Calle S.E. contiguo a Col. El Estadio y Hacienda San Jorge               , Sector Chotepe                                      , San Pedro Sula           , 21103             , Cortes                          , Apparel
India                             , ACTIVE CLOTHING CO. LIMITED                                                           , Tier 1 - Primary      , "GHEL LINK ROAD, VILLAGE-BADALI ALA SINGH"                                                            ,                                                                             ,                                                     , FATEHGARH SAHIB          , 140406            , Punjab                          , Accessories
India                             , "ALPINE APPARELS PVT LTD, Plot no:68"                                                 , Tier 1 – Subcontractor, PLOT NO- 68                                                                                           , SEC-27A                                                                     ,                                                     , FARIDABAD                , 121002            , Haryana                         , Accessories
India                             , ALPINE IMPEX PRIVATE LIMITED                                                          , Tier 1 - Primary      , PLOT NO. 9A                                                                                           ,                                                                             ,                                                     , FARIDABAD                ,                   , HARYANA                         , Accessories
India                             , ALPINE SHOES PRIVATE LIMITED                                                          , Tier 1 - Primary      , PLOT NO. 612                                                                                          ,                                                                             ,                                                     , FARIDABAD                , 121004            , HARYANA                         , Footwear
India                             , Alpine Shoes Pvt. Ltd [Baddi]                                                         , Tier 1 - Primary      , 76 A/B                                                                                                , HPSIDC INDUSTRIAL AREA                                                      , Baddi - HP                                          , BADDI                    , 173205            , Himachal Pradesh                , Footwear
India                             , "ALPINE SHOES PVT. LTD. (PLOT NO. 54, FBD)"                                           , Tier 1 – Subcontractor, "PLOT NO. 54, SECTOR - 27A,"                                                                          , FARIDABAD                                                                   , HARYANA                                             , Faridabad                , 121003            , Haryana                         , Footwear
India                             , APACHE FOOTWEAR INDIA PRIVATE LIMITED                                                 , Tier 1 - Primary      , Sri Potti Sriramulu Nellore                                                                           ,                                                                             ,                                                     , Andhra Pradesh           , 524401            ,                                 , Footwear
India                             , APEX Gudur Footwear Pvt. Ltd                                                          , Tier 1 – Subcontractor, "No. 438, Muthyalapadu village, Writerchatram Post,"                                                  , "Chillakuru Mandal, Tirupathi District."                                    ,                                                     , Chillakur                , 524412            , Andhra Pradesh                  , Footwear
India                             , Aryan Apparels Pvt. Ltd. (Plot No. 109)                                               , Tier 1 - Primary      , Plot No. 109 Sec-04 IMT Manesar                                                                       ,                                                                             ,                                                     , Gurgaon                  , 122050            , Haryana                         , Apparel
India                             , Aryan Apparels Pvt. Ltd. (Plot No. 266)                                               , Tier 1 - Primary      , Plot No. 266                                                                                          , Sec-06                                                                      , IMT Manesar                                         , Gurgaon                  , 122050            , Haryana                         , Apparel
India                             , Camphor Shoes (India) Private Limited                                                 , Tier 1 – Subcontractor, APIIC Industrial Park  (Apache SEZ Development)                                                       , Mambatuu Village                                                            , Ta da Mandal                                        , Tirupathi District       , 524401            , Andhra Pradesh                  , Footwear
India                             , CARNIVAL CLOTHING COMPANY                                                             , Tier 1 - Primary      , "No. 2/A-1,  Chikkaveeranna Road Cross"                                                               , Bannimantap Extension                                                       ,                                                     , Mysore                   , 570015            , Karnataka                       , Apparel
India                             , RADNIK EXPORTS GLOBAL PRIVATE LIMITED                                                 , Tier 1 - Primary      , SECTOR 90                                                                                             , NOIDA                                                                       , PHASE II                                            , GAUTAM BUDDHA NAGAR      , 201305            , UTTAR PRADESH                   , Apparel
India                             , Euro Clothing Company                                                                 , Tier 1 - Primary      , 122/1; Doddabidarekallu Village                                                                       , "Yeshwanthpur Hobli, Tumkur Road"                                           , 0                                                   , Bangalore                , 560073            , Karnataka                       , Apparel
India                             , GOKALDAS EXPORTS LTD UNIT - V                                                         , Tier 1 - Primary      , "SF No. 182/4,182/5,183/1,183/2, Billanakuppam village,"                                              , "Veppanapalli Union, Krishmagiri - 635115"                                  ,                                                     , Krishnagiri              , 635115            , Tamil Nadu                      , Apparel
India                             , GOKALDAS EXPORTS LTD UNIT I                                                           , Tier 1 - Primary      , "PLOT NO 119, KIADB GROWTH CENTRE SH-57"                                                              ,                                                                             ,                                                     , HAASAN                   , 573201            ,                                 , Apparel
India                             , GOOD LEATHER SHOES PVT LTD                                                            , Tier 1 – Subcontractor, THIMIRI TO KALAVAI ROAD                                                                               ,                                                                             ,                                                     , VELLORE                  , 632512            , Tamil Nadu                      , Footwear
India                             , Goodwill Plastic Industries - 1                                                       , Tier 1 - Primary      , "Goodwill Plastic Industries, Khasra No.3967, Lal Tappar Indl."                                       , "Area, NH-72, Opp. Birla Power, Majri Grant"                                , Dehradun                                            , Dehradun                 , 248140            , Uttarakhand                     , Footwear
India                             , HIGH STREET FASHIONS PRIVATE LIMITED                                                  , Tier 1 - Primary      , "Plot No : B-17,  &  B-18, B-03 & B-04"                                                               , "22 Godown  Industrial Estate,"                                             , Jaipur                                              , Jaipur                   , 302006            , Rajasthan                       , Accessories
India                             , Infiiloom India Private Limited                                                       , Tier 1 - Primary      , "Gat No. 1231 (Part) Sanaswadi, "                                                                     , Taluka Shirur                                                               , District Pune                                       , Pune                     , 412208            , Maharashtra                     , Accessories
India                             , M/S SOLTEC ( A UNIT OF MOCHIKO SHOES PVT. LTD.)                                       , Tier 1 – Subcontractor, "Khasra No. 3901, 3902, 3903 & 3904 Lal Tappar Industrial Area, Dehradun"                             ,                                                                             ,                                                     , Dehradun                 , 248140            , Uttarakhand                     , Footwear
India                             , MARAL OVERSEAS LIMITED                                                                , Tier 1 - Primary      , "A-37, Sector - 64, "                                                                                 , NOIDA                                                                       ,                                                     , GAUTAM BUDDHA NAGAR      , 201305            , UTTAR PRADESH                   , Apparel
India                             , Maral Overseas Limited - 2                                                            , Tier 1 - Primary      , D 347                                                                                                 , Sector 63                                                                   , Noida                                               , Gautam Buddha Nagar      , 201305            , Uttar Pradesh                   , Apparel
India                             , MaxKing (India) Footwear Private Limited                                              , Tier 1 - Primary      , "MaxKing (India) Footwear Private Limited,"                                                           , "Mambattu village, Tada mandal."                                            , SPSR Nellore District                               , Nellore                  , 524401            , Andhra Pradesh                  , Footwear
India                             , Mochiko Shoes Pvt. Ltd.                                                               , Tier 1 - Primary      , "Khasra No.-3912, Lal Tappar Industrial Area"                                                         , "Majri Grant, NH-72"                                                        ,                                                     , Dehradun                 , 248140            , Uttarakhand                     , Footwear
India                             , MOCHIKO SPORTS PRIVATE LIMITED                                                        , Tier 1 - Primary      , LAL TAPPAR INDUSTRIAL AREA                                                                            , "MOUZA MARJRI GRANT, DOIWALA"                                               ,                                                     , DEHRADUN                 , 248140            ,                                 , Footwear
India                             , Shahi Export Pvt Ltd                                                                  , Tier 1 - Primary      , SY. No 35                                                                                             , "43/2 & 43/3, BASEMENT"                                                     , "AREKERE, B G ROAD"                                 , Bangalore                , 560076            , Karnataka                       , Apparel
Indonesia                         , P.T. Kahatex                                                                          , Tier 1 - Primary      , JL. Cijerah Cigondewah Girang No. 16                                                                  , RT 001/ RW 032 Melong - Cimahi Selatan                                      , Cimahi - Jawa Barat                                 , Cimahi                   , 40534             , Jawa Barat                      , Accessories
Indonesia                         , PT APPAREL ONE INDONESIA_2                                                            , Tier 1 - Primary      , "JALAN TUGU WIJAYA IV NO. 08, WIJAYAKUSUMA INDUSTRIAL AREA, "                                         , "KEL. RANDUGARUT, DISTRICT. TUGU"                                           ,                                                     , Semarang                 , 50153             , Jawa Tengah                     , Apparel
Indonesia                         , PT Bintang Indokarya Gemilang                                                         , Tier 1 - Primary      , Jl. Raya Cendrawasih KM 20                                                                            , Desa Tengguli No. 06                                                        , Kecamatan Tanjung Kabupaten Brebes                  , Brebes                   , 52254             , Jawa Tengah                     , Footwear
Indonesia                         , PT FORMOSA BAG INDONESIA                                                              , Tier 1 – Subcontractor, RT. 006 / RW. 003                                                                                     , DESA SENGONBUGEL                                                            , KECAMATAN MAYONG KABUPATEN JEPARA                   , JEPARA                   , 59465             ,                                 , Apparel
Indonesia                         , PT Gistex Garmen Indonesia - 2                                                        , Tier 1 - Primary      , Jl Raya Bandung Cirebon Desa Sinarjati                                                                , RT 01 RW 01                                                                 , Dawuan                                              , Majalengka               , 45453             , Jawa Barat                      , Apparel
Indonesia                         , PT Glostar Indonesia (PGD adidas)                                                     , Tier 1 - Primary      , Jl. Pelabuan II KM. 14.5 RT. 003 RW. 005                                                              , Desa Bojongraharja                                                          , Kecamatan Cikembar                                  , Sukabumi                 , 43157             , Jawa Barat                      , Footwear
Indonesia                         , PT GLOSTAR INDONESIA (PGS)                                                            , Tier 1 - Primary      , DESA TITISAN                                                                                          , "Desa Titisan, Kecamatan Sukalarang"                                        , Kabupaten Sukabumi                                  , SUKABUMI                 , 43191             , Jawa Barat                      , Footwear
Indonesia                         , PT HWA SEUNG INDONESIA 2                                                              , Tier 1 - Primary      , RT. 01 RW. 01 KEL. BUMIMULYO                                                                          , KEC. BATANGAN                                                               ,                                                     , KAB. PATI                , 59186             , JAWA TENGAH                     , Footwear
Indonesia                         , PT Nikomas Gemilang                                                                   , Tier 1 - Primary      , Jl. Raya Serang Km 71                                                                                 , Desa Tambak Kec. Kibin                                                      , Kab. Serang                                         , Serang                   , 42185             , Banten                          , Footwear
