Adidas                            ,                                                                                       ,                       ,                                                                                                       ,                                                                             ,                                                     ,                          ,                   ,                                 , 
Country                           , Supplier Name                                                                         , Tier                  , Address 1                                                                                             , Address 2                                                                   , Address 3                                           , City                     , Postal Code       , State                           , Product Type
Brazil                            , LABELLA ATELIER DE CALÇADOS LTDA                                                      , Tier 1 – Subcontractor, RUA ADRIANO DE QUADROS BITTENCOURT                                                                    , 1388                                                                        , BAIRRO RINCÃO DOS ILHEUS                            , ESTANCIA VELHA           , 93.608-150        , Rio Grande do Sul               , Footwear
Brazil                            , "OLIMPYC INDUSTRIA, COMERCIO E BENEFICIAMENTO DE CALÇADOS EIRELI"                     , Tier 1 – Subcontractor, "RUA MARIO QUINTANA, 100"                                                                             ,                                                                             , Bela Vista                                          , ESTANCIA VELHA           , 93614-390         , Rio Grande do Sul               , Footwear
Brazil                            , P A MIGUEL E CIA LTDA                                                                 , Tier 1 – Subcontractor, "ESTRADA MONJOLO,60"                                                                                  ,                                                                             ,                                                     , SANTO ANTONIO DA PATRULHA, 95500000          , Rio Grande do Sul               , Footwear
Brazil                            , Ranee Industria e Comércio LTDA (São Carlos)                                          , Tier 1 – Subcontractor, "AVENIDA PRESIDENTE KENNEDY,  Nº 1161"                                                                ,                                                                             ,                                                     , SÃO CARLOS               , 89870-000         , Santa Catarina                  , Apparel
Brazil                            , Ranee Industria e Comercio Ltda. 3 (Campo Erê)                                        , Tier 1 – Subcontractor, "Rua 31 de março, 504"                                                                                ,                                                                             ,                                                     , Campo Ere                , 89980000          , Rio Grande do Sul               , Apparel
Brazil                            , Selene Industria Textil S.A.                                                          , Tier 1 - Primary      , " 490, DO VELHO RAMAL ST"                                                                             ,                                                                             ,                                                     , Cerquilho                , 18520-000         , Sao Paulo                       , Apparel
Brazil                            , TECNOTEXTIL CONFECCOES LTDA                                                           , Tier 1 - Primary      , "RUA ESTRADA MUNICIPAL, KM01"                                                                         ,                                                                             ,                                                     , TRES PONTAS              , 37190000          , Minas Gerais                    , Apparel
Brazil                            , Textil H J Hering Ltda - Matriz                                                       , Tier 1 - Primary      , "Rua Rio de Janeiro, nr.965"                                                                          ,                                                                             ,                                                     , Indaial - SC             , 89130-000         , Santa Catarina                  , Apparel
Brazil                            , Textil H J Hering Ltda. - Filial Estamparia                                           , Tier 1 – Subcontractor, Rua Dr Blumenau 2484 Encano                                                                           ,                                                                             ,                                                     , Indaial - SC             , 89086-180         , Santa Catarina                  , Apparel
Cambodia                          , BEAUTY SILK SCREEN LIMITED                                                            , Tier 1 – Subcontractor, "Veng Sreng Blvd, Phum Trapeang Thleung"                                                              , "Sangkat Chom Chao, Khan Porsenchey  "                                      ,                                                     , Phnom Penh               , 12405             , Phnom Penh                      , Apparel
Cambodia                          , Bowker Garment Factory (Cambodia) Company Limited                                     , Tier 1 - Primary      , "NATIONAL ROAD NO.4,"                                                                                 , "PONG TEUK VILLAGE, BEK CHAN COMMUNE"                                       , "ANG SNOUL DISTRICT, KANDAL PROVINCE, CAMBODIA"     , Kandal                   , 8301              , Kandal                          , Apparel
Cambodia                          , "Can Sports Shoes Co., Ltd."                                                          , Tier 1 - Primary      , "National Road No.5, Chamkar Svay Village, "                                                          , "Sedthei Commune, Sameakki Mean Chey District"                              ,                                                     , Kampong Chhnang Province , 4457              , Kampong Chhnang                 , Footwear
Cambodia                          , "Elite (Cambodia) Co., Ltd."                                                          , Tier 1 - Primary      , "Manhattan Special Economic Zone,"                                                                    , "National Road #1, "                                                        , "Bavet Commune, Bavet District"                     ,                          , 200802            , Svay Rieng                      , Apparel
Cambodia                          , Grace Glory (Cambodia) Garment LTD                                                    , Tier 1 - Primary      , "National Road #4, Prey Kor Village"                                                                  , "Lum Hach Commune, Angsnoul District"                                       ,                                                     , Kandal                   , 83808             , Kandal                          , Apparel
Cambodia                          , "KKN APPAREL CO., LTD"                                                                , Tier 1 - Primary      , NEANG KOK VILLAGE                                                                                     , PAKKLONG COMMUNE                                                            ,                                                     , KOH KONG                 , 000000            ,                                 , Apparel
Cambodia                          , "MARVEL GARMENT CO.,LTD."                                                             , Tier 1 – Subcontractor, PPSEZ Beung Thom 3 village Sangkat Beung Thom Khan Posenchey                                          ,                                                                             ,                                                     , Phnom Penh               , 120909            , Select                          , Apparel
Cambodia                          , "Meng Da Footwear Industrial Co., Ltd (EVK)"                                          , Tier 1 - Primary      , "Street Veng Sreng, Phoum Chorm Chao"                                                                 , "Sangkat Chorm Chao, Khan Porsenchey"                                       ,                                                     , Phnom Penh               , 12000             , Phnom Penh                      , Footwear
Cambodia                          , "RONG WIN GARMENT CO., LTD."                                                          , Tier 1 - Primary      , PHUM TRAPEANG THLOENG 1                                                                               , SANGKAT CHOM CHAO 1                                                         , KHAN POR SENCHEY                                    , Phnom Penh               , 120909            , Phnom Penh                      , Apparel
Cambodia                          , "Sixplus Industry Co., Ltd."                                                          , Tier 1 - Primary      , PHUM KANDAL                                                                                           , KHUM PREK ANHCHANH                                                          , MOCKOMPOUL DISTRICT                                 , KANDAL PROVINCE          , 080701            , Kandal                          , Apparel
Cambodia                          , "Splendor Industry Co., Ltd."                                                         , Tier 1 – Subcontractor, "National Road #5, PHUM KHLANG SANG"                                                                  , SANGKAT RUSSEY KEO                                                          , KHAN RUSSEY KEO                                     , Phnom Penh               , 120703            , Phnom Penh                      , Apparel
Cambodia                          , Sportex Industry Co Ltd                                                               , Tier 1 – Subcontractor, National Road #5                                                                                      , PHUM SPEAN KPOS                                                             , "SANGKAT KILOMETRE 6, KHAN RUSSEY KEO"              , Phnom Penh               , 120702            , Phnom Penh                      , Apparel
Cambodia                          , Suntex Private Limited                                                                , Tier 1 – Subcontractor, "No. 8 Street Choam Chao, "                                                                           , "Sangkat Choam Chao, Khan Por Senchey"                                      ,                                                     , Phnom Penh               , 120910            ,                                 , Apparel
Cambodia                          , "Trax Apparel (Cambodia) Co., Ltd"                                                    , Tier 1 - Primary      , NO.1  Russian Federation Boulevard                                                                    , "Chongthnal Khang Kaeut , Teuk Thla"                                        , Sen Sok                                             , Phnom Penh               , 120802            , Phnom Penh                      , Apparel
Cambodia                          , "XO TEX INDUSTRIAL CO., LTD"                                                          , Tier 1 - Primary      , "Phum Trapaing Thloeng,"                                                                              , "Sangkat Choam Chao,"                                                       , Khan Por Senchey                                    , Phnom Penh               , 120909            , Phnom Penh                      , Apparel
Canada                            , Rair T & Co Inc.                                                                      , Tier 1 - Primary      , 3570 Griffith                                                                                         ,                                                                             ,                                                     , Ville St Laurent         , H4T 1A7           , Quebec                          , Apparel
China                             , ANHUI CHURUN GARMENT COMPANY LIMITED                                                  , Tier 1 - Primary      , BULIDING 2                                                                                            , No.708 Huizhou North Road                                                   ,                                                     , CHUZHOU CITY             , 239065            , ANHUI                           , Apparel
China                             , "Anxiang Victory Smart Manufacturing Sports Technologies Co.,Ltd"                     , Tier 1 - Primary      , Dajinggang Industrial Zone                                                                            , "Group 16, Xicheng Community,Dajinggang Town"                               , Anxiang County                                      , Changde                  , 415600            , Hunan                           , Footwear
China                             , Apache Footwear Ltd Heyun Branch Company                                              , Tier 1 – Subcontractor, "North of Tongfu Road, New city development area, Qingxing District, Heyun Town"                      , Qingxin                                                                     ,                                                     , Qingyuan                 , 511857            , Guangdong                       , Footwear
China                             , Apache Footwear Ltd Jin Tan Branch Company                                            , Tier 1 – Subcontractor, "Shangwan Village, Dawanggang, Jintan Town, Qingxing District"                                        ,                                                                             ,                                                     , Qingyuan                 , 511885            , Guangdong                       , Footwear
China                             , APACHE FOOTWEAR LTD.（QINGXIN）                                                       , Tier 1 - Primary      , Industrial Zone                                                                                       , Tai Ping industrial area                                                    , Qingxin County                                      , Qingyuan                 , 511853            , Guangdong                       , Footwear
China                             , "Qingdao Huasheng Socks Co., Ltd"                                                     , Tier 1 - Primary      , Jifa Knitting Industrial Park                                                                         , No. 386 Liuhaohe 2nd Road                                                   , Jimo District                                       , Qingdao                  , 266200            , Shandong                        , Apparel
China                             , Bosideng Co Ltd Changshu Garment Factory                                              , Tier 1 - Primary      , BaiMao Industrial Developing Zone                                                                     ,                                                                             ,                                                     , Changshu                 , 215532            , Jiangsu                         , Apparel
China                             , Bowker PrintingFactory (He Yuan) Co. Ltd                                              , Tier 1 – Subcontractor, "Li Wang Road East, Ming Zhu"                                                                         ,                                                                             ,                                                     , He Yuan City             , 517000            , Guangdong                       , Apparel
China                             , Bowker Venture Garment Factory (Yun Fu) Co. Ltd.                                      , Tier 1 - Primary      , Zhen Xing Industrial Park                                                                             , Chucheng Development District                                               ,                                                     , Yunfu                    , 527300            , Guangdong                       , Apparel
China                             , "Bowker Yee Sing Garment (Heyuan) Co., Ltd."                                          , Tier 1 - Primary      , "He Pu road east,Venture avenue southwest side,"                                                      , "Pearl industrial zone,"                                                    ,                                                     , Heyuan                   , 517003            , Guangdong                       , Apparel
China                             , "CHANGDE VICTORY FOOTWEAR CO., LTD."                                                  , Tier 1 – Subcontractor, INSIDE ZHANGJIANG INDUSTRIAL PARK                                                                     , GUANJIAPING COMMUNITY                                                       , "ZHANGJIANG STREET, TAOYUAN COUNTY"                 , CHANGDE CITY             ,                   , HUNAN                           , Footwear
China                             , "Changzhou Hualida Garments Group Co., LTD"                                           , Tier 1 - Primary      , "No.5 Building,Hualida Industrial Park of Garment Science and Technology,"                            , "No. 599, ZhongWu Avenue,TianNing District,"                                ,                                                     , ChangZhou City           , 213018            , Select                          , Apparel
China                             , "CHANGZHOU PURE CLOTHING CO.,LTD."                                                    , Tier 1 - Primary      , CHENGFENG ROAD                                                                                        , JINTAN DISTRICT                                                             ,                                                     , CHANGZHOU                , 213200            ,                                 , Apparel
China                             , "CHUZHOU KORRUN FUTURE LUGGAGE PRODUCTS CO.,LTD"                                      , Tier 1 - Primary      , BUILDING 1                                                                                            ,                                                                             ,                                                     , CHUZHOU                  ,                   , ANHUI                           , Accessories
China                             , "Dalian Cheng Hua Footwear Co.,Ltd"                                                   , Tier 1 – Subcontractor, "Industrial park,"                                                                                    , "Sujia Village,DalianWanTown,"                                              , "GanJingZi District,"                               , Dalian                   , 116113            , Liaoning                        , Footwear
China                             , Dalian FuSheng Shoe Manufacturing Co Ltd                                              , Tier 1 – Subcontractor, "1-3 Floor, 665 Jindong Road,"                                                                        , "Zhongchangcun, Zhongchang Street,"                                         , "Jinzhou,"                                          , Dalian                   , 116100            , Liaoning                        , Footwear
China                             , Dalian Vent d'Est Lavado & Garments Co Ltd                                            , Tier 1 - Primary      , "Shenlu Vallige, "                                                                                    , Paotai Town                                                                 , Puwan New District                                  , Dalian                   , 116001            , Liaoning                        , Apparel
China                             , "DALIAN YUANSHAN SHOES CO., LTD"                                                      , Tier 1 – Subcontractor, "SUJIA VILLAGE, DALIANWAN TOWN, GANJINGZI DISTRICT"                                                   ,                                                                             ,                                                     , DALIAN                   ,                   , Liaoning                        , Footwear
China                             , "Dandong SLT Garment Industrial Co., Ltd"                                             , Tier 1 - Primary      , "Qianyang Economic Development Zone, Dandong City, Liaoning Province"                                 ,                                                                             ,                                                     , Dan Dong                 , 118300            , Liaoning                        , Apparel
China                             , Dong Guan Pou Chen Footwear Company Limited                                           , Tier 1 - Primary      , Yue Yuen Industrial Park                                                                              , Shang Jiang Cheng                                                           , Gaobu Town                                          , Dongguan                 , 523287            , Guangdong                       , Footwear
China                             , Dong Guan Yue Yuen Footwear Co Ltd (YYII-YC1)                                         , Tier 1 – Subcontractor, Yue Yuen Industrial Zone                                                                              , Shaotan                                                                     , Gaobu Town                                          , Dongguan                 , 523286            , Guangdong                       , Footwear
China                             , "Dongguan Crystal Knitting and Garment Co., Ltd"                                      , Tier 1 - Primary      , "No.108, Changping Section of Dongshen Road, Changping Town, "                                        ,                                                                             ,                                                     , Dongguan City            , 523570            , Guangdong                       , Apparel
China                             , "Dongguan Miyue  knitting Garment Co., Ltd"                                           , Tier 1 - Primary      , "Room 701, Building 3, No. 12 Zhushan Jiuyuan Road"                                                   , Dalang Town                                                                 , Dongguan City                                       , Guangdong Province       ,                   , Guangdong                       , Apparel
China                             , "Dongguan Ye Ji Industrial Co.,Ltd."                                                  , Tier 1 - Primary      , "Room 101, No.3 Building, No.112, Chang Huang Road,Chang Ping Town"                                   ,                                                                             ,                                                     , Dongguan                 , 523580            , Guangdong                       , Apparel
China                             , DONGGUAN ZERONG BAG LTD.                                                              , Tier 1 - Primary      , "No.425, Jinxing Rd, Liaobu Town, Dongguan, Guangdong, China."                                        ,                                                                             ,                                                     , Dongguan                 , 523402            , Guangdong                       , Accessories
China                             , "Dongguan ZhengYong Leather Accessories Co., Ltd"                                     , Tier 1 - Primary      , "Room 101, No.10"                                                                                     , Shatian street of Wusha                                                     , Changan Town                                        , Dongguan                 , 523850            , Guangdong                       , Accessories
China                             , "Evervan Chang Ning Footwear Co.,Ltd. (EVL)"                                          , Tier 1 – Subcontractor, Taizi Industry zone                                                                                   , "Qingyang road north,Qingyang new zone"                                     ,                                                     , Changning City           , 421500            , Hunan                           , Footwear
China                             , Evervan Deyang Footwear Co. Ltd                                                       , Tier 1 - Primary      , Heng Yang county                                                                                      , "Economic Technique, Development Zone,"                                     , NO.1 Liansheng Road                                 , Hengyang                 , 421200            , Hunan                           , Footwear
China                             , Evervan Qingyuan Footwear Co. Ltd                                                     , Tier 1 - Primary      , "NO. 16 BAPIAN Road, "                                                                                , "Taihe Industrial Park,"                                                    , Qingxin District                                    , Qingyuan                 , 511800            , Guangdong                       , Footwear
China                             , "FUJIAN LECROWN INDUSTRY CO., LTD"                                                    , Tier 1 – Subcontractor, "BUILDING 6.7.8, HAOLAIWU PLANT Ⅱ, NO.1 GUOYOU NORTH ROAD, DONGHU TOWN, LIANJIANG COUNTY"             ,                                                                             ,                                                     , FUZHOU                   , 350502            , Fujian                          , Footwear
China                             , "Fujian Putian Lake Sports Goods Co., Ltd."                                           , Tier 1 - Primary      , "NanShaoLin Industry Park,"                                                                           , "XiTianWei Town,"                                                           , LiCheng District                                    , PuTian                   , 351100            , Fujian                          , Footwear
China                             , "Fujian Putian Shuangyuan Footwear Co., Ltd."                                         , Tier 1 – Subcontractor, "No.288, Shipan Road"                                                                                 , Xitianwei Town                                                              , Licheng District                                    , Putian                   , 351131            , Fujian                          , Footwear
China                             , Ganzhou Chuangda Footwear Ltd                                                         , Tier 1 – Subcontractor, "ALONG THE MIDDLE OF LAKE ROAD, Shahe Industrial Park"                                                , Zhanggong District                                                          ,                                                     , Ganzhou                  , 341000            , Jiangxi                         , Footwear
China                             , "SHENZHEN PENGYIFA INDUSTRIAL CO.,LTD"                                                , Tier 1 - Primary      , "THE 2ND FLOOR, A BUILDING"                                                                           , "B5 DISTRICT, 1ST INDUSTRIAL PARK"                                          , BAIHUADONG COMMUNITY，GUANGMINGXINQU                , SHENZHEN                 , 518107            , Guangdong                       , Accessories
China                             , "HENAN RONGHUI FOOTWEAR CO., LTD. "                                                   , Tier 1 – Subcontractor, "NO. 006, THE NORTH SIDE OF THE WEST SECTION OF CAIZHOU AVENUE"                                       , "CAIDU TOWN, SHANGCAI COUNTY"                                               ,                                                     , ZHUMADIAN                ,                   , Henan                           , Footwear
China                             , "HUAIAN YUANTONG HEADWEAR MFG CO., LTD."                                              , Tier 1 - Primary      , "No. 30, 32, and 99  Yan Huang Avenue,"                                                               , Lian Shui Economic Developmental District                                   ,                                                     , HuaiAn                   , 223400            , Jiangsu                         , Accessories
China                             , HUIZHOU HUIYANG JINGYI INDUSTRIAL                                                     , Tier 1 - Primary      , Qiu Chang Zhen Xin Tang Cun Senxing                                                                   , "Industrial Park,C building, Huiyang District"                              ,                                                     , Huizhou                  , 516000            , Guangdong                       , Accessories
China                             , HUNAN PEITONG SHOES CO. LTD.                                                          , Tier 1 – Subcontractor, BUILDING B                                                                                            , ELECTRONIC INDUSTRY CLUSTER AREA                                            , YUNJI TOWN                                          , HENGYANG                 ,                   , HUNAN                           , Footwear
China                             , Jangchun Shoe Manufacturing Chaoyang Co Ltd                                           , Tier 1 – Subcontractor, No. 5-99E                                                                                             , "Wenhua Road, "                                                             , Longcheng District                                  , ChaoYang                 , 122000            , Liaoning                        , Footwear
China                             , "JANGCHUN SHOE MANUFACTURING DALIAN CO., LTD."                                        , Tier 1 - Primary      , DALIANWAN TOWN                                                                                        ,                                                                             , GANJINGZI DISTRICT                                  , DALIAN                   , 116113            , LIAONING                        , Footwear
China                             , "Jangchun Shoe Manufacturing Tongliao Co., Ltd."                                      , Tier 1 – Subcontractor, West of the Chuangye Avenue                                                                           , South of the Liaohe Street                                                  , "Economic and Techmological Development Zone,028000", Tongliao                 , 028000            , Inner Mongolia                  , Footwear
China                             , "JIANG YIN ALSTON SPORTS GOODS CO.,LTD"                                               , Tier 1 - Primary      , "No. 92 Yueshan Road, Yuecheng Town, Jiangyin City, Wuxi City, Jiangsu Province, Wuxi,"               ,                                                                             ,                                                     , "Jiangyin City, Wuxi"    , 214404            , Jiangsu                         , Accessories
China                             , "Jiangsu Asian Sourcing Headwear MFG. Co., Ltd"                                       , Tier 1 - Primary      , No. 2  South Guangzhou Road                                                                           , Economic and Technology Development Zone                                    ,                                                     , Huai'an City             , 223005            , Jiangsu                         , Accessories
China                             , "Jiangsu Liberty Clothing Co., Ltd."                                                  , Tier 1 - Primary      , "88 Chenfeng Road, JINTAN"                                                                            ,                                                                             ,                                                     , Jintan                   , 213200            , Jiangsu                         , Apparel
